title,link,time
Tampa mayor finds 70 pounds of cocaine during family fishing trip,{'https://news.google.com/topics/articles/CCAiC3hjcnlGWUFrRFpnmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:26:17Z
Tampa mayor makes $1.1M cocaine catch while fishing in Florida Keys with family,{'https://news.google.com/topics/articles/CBMiRmh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8wOC91cy90YW1wYS1tYXlvci1jb2NhaW5lLWNhdGNoL2luZGV4Lmh0bWzSAUpodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzA4LzA4L3VzL3RhbXBhLW1heW9yLWNvY2FpbmUtY2F0Y2gvaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T17:25:00Z
Police find bricks of cocaine at Florida Keys,{'https://news.google.com/topics/articles/CBMiUmh0dHBzOi8vd3N2bi5jb20vbmV3cy9sb2NhbC9mbG9yaWRhL3BvbGljZS1maW5kLWJyaWNrcy1vZi1jb2NhaW5lLWF0LWZsb3JpZGEta2V5cy_SAVZodHRwczovL3dzdm4uY29tL25ld3MvbG9jYWwvZmxvcmlkYS9wb2xpY2UtZmluZC1icmlja3Mtb2YtY29jYWluZS1hdC1mbG9yaWRhLWtleXMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-07T21:44:28Z
"Supreme Court reinstates regulation of ghost guns, firearms without serial numbers",{'https://news.google.com/topics/articles/CBMicWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3N1cHJlbWUtY291cnQtZ2hvc3QtZ3Vucy1iaWRlbi1hZG1pbmlzdHJhdGlvbi1sYXdzdWl0LTQ2Yjg3MTk2OWRjNmE3ZGEzNTYwNWMyZWJjNTM4NWU10gEA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:57:00Z
Supreme Court upholds restrictions on ghost guns,{'https://news.google.com/topics/articles/CCAiCzN1QnRxekkxQnlFmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:49:51Z
"By 5-4 Vote, Supreme Court Revives Biden's Regulation of 'Ghost Guns'",{'https://news.google.com/topics/articles/CBMiSWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMDgvdXMvc3VwcmVtZS1jb3VydC1iaWRlbi1naG9zdC1ndW5zLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T20:52:33Z
US Supreme Court restores Biden's curbs on homemade 'ghost guns' — for now,{'https://news.google.com/topics/articles/CBMiZ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2xlZ2FsL3VzLXN1cHJlbWUtY291cnQtcmVpbnN0YXRlcy1iaWRlbnMtZ2hvc3QtZ3VuLXJlc3RyaWN0aW9ucy1ub3ctMjAyMy0wOC0wOC_SAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T19:20:00Z
Massachusetts governor declares emergency and urges help for migrants,{'https://news.google.com/topics/articles/CBMidWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzLzIwMjMvYXVnLzA4L21hc3NhY2h1c2V0dHMtZ292ZXJub3ItZGVjbGFyZXMtZW1lcmdlbmN5LWFuZC11cmdlcy1oZWxwLWZvci1taWdyYW50c9IBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:44:00Z
Massachusetts gov declares state of emergency due to surge of migrants; calls for federal action,{'https://news.google.com/topics/articles/CBMib2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL21hc3NhY2h1c2V0dHMtZ292LWRlY2xhcmVzLXN0YXRlLWVtZXJnZW5jeS1zdXJnZS1taWdyYW50cy1jYWxscy1mZWRlcmFsLWFjdGlvbtIBc2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL21hc3NhY2h1c2V0dHMtZ292LWRlY2xhcmVzLXN0YXRlLWVtZXJnZW5jeS1zdXJnZS1taWdyYW50cy1jYWxscy1mZWRlcmFsLWFjdGlvbi5hbXA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T17:01:00Z
Mass. governor declares state of emergency due to migrant crisis,{'https://news.google.com/topics/articles/CCAiC1hwVVRxUXV3UWpFmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:18:05Z
Gov. Healey right to ask US help with Massachusetts’ migrant housing crisis (Editorial),{'https://news.google.com/topics/articles/CBMigQFodHRwczovL3d3dy5tYXNzbGl2ZS5jb20vb3Bpbmlvbi8yMDIzLzA4L2dvdi1oZWFsZXktcmlnaHQtdG8tYXNrLXVzLWhlbHAtd2l0aC1tYXNzYWNodXNldHRzLW1pZ3JhbnQtaG91c2luZy1jcmlzaXMtZWRpdG9yaWFsLmh0bWzSAZABaHR0cHM6Ly93d3cubWFzc2xpdmUuY29tL29waW5pb24vMjAyMy8wOC9nb3YtaGVhbGV5LXJpZ2h0LXRvLWFzay11cy1oZWxwLXdpdGgtbWFzc2FjaHVzZXR0cy1taWdyYW50LWhvdXNpbmctY3Jpc2lzLWVkaXRvcmlhbC5odG1sP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T19:30:00Z
"PBS NewsHour live episode, Aug. 8, 2023",{'https://news.google.com/topics/articles/CCAiCzM2Tl9qQjVwN1BjmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T23:01:13Z
US pauses aid to Niger after military coup | FOX 5 News,{'https://news.google.com/topics/articles/CCAiCzJPR0R6akxYNmM4mAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T04:02:53Z
WATCH LIVE: State Department holds news briefing as regional bloc meets to discuss Niger coup,{'https://news.google.com/topics/articles/CCAiC2xpYkxHcF9vSHg4mAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-07T18:05:06Z
"LIVE | U.S. State Department On Niger Crisis, Russia-Ukraine War & The China Factor | Watch",{'https://news.google.com/topics/articles/CCAiC0hWdnZWZlJnYzhvmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T11:50:31Z
Previously Secret Memo Laid Out Strategy for Trump to Overturn Biden's Win,{'https://news.google.com/topics/articles/CBMiV2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMDgvdXMvcG9saXRpY3MvdHJ1bXAtaW5kaWN0bWVudC1mYWtlLWVsZWN0b3JzLW1lbW8uaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T02:14:14Z
Donald Trump admits criminal charges will damage 2024 presidential campaign,{'https://news.google.com/topics/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2YwYmM4MGQzLTJlN2ItNDNjZi1hMTQzLTc5Y2EwZTNjMTIzYtIBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:43:00Z
Donald Trump Speech LIVE | Trump Addresses Rally In New Hampshire | Trump New Hampshire Rally,{'https://news.google.com/topics/articles/CCAiCzgyS3ZWMzR0a3Q0mAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:25:21Z
